Femur,Patella,QT
0.392422,0,0.410654
0.217661,0,0.796966
0,0,0.708973
0.577231,0,0.594772
0.211591,0,0.677434
0,0.614236,0.178981
0.534516,0,0.736249
0.577556,0.62296,0.648972
0.485167,0,0.50974
0.127527,0,0.538064
0.459511,0,0.704249
0.528206,0,0.759396
0,0,0.774202
0.15792,0,0.448324
0.273635,0.761249,0.300438
0.701869,0,0.56017
0.513672,0,0.722113
0.525645,0,0.788586
0.430819,0,0.573149
0.400399,0.176126,0.423282
0.582878,0,0.505505
0.635841,0,0.746398
0.264226,0,0.591751
0.637051,0.129313,0.668617
0.56261,0.391829,0.455887
0.616178,0,0.688488
0.538506,0,0.608989
0,0,0.634676
0.111124,0.253828,0.27147
0.435515,0,0.677699
