Femur,Patella,QT
74.39411184,92.25926255,0
0,69.25536781,8.672150551
0,57.2357726,84.18478696
0,0,41.19809175
92.16756185,0,94.62754514
49.40718409,0,97.07529449
0,94.97613525,0
0,0,20.14934833
0,65.64337479,0
0,0,0
0,37.26228572,29.42454815
95.59936523,0,56.86150111
71.0755496,88.79560683,0
75.49646537,0,0
60.77366726,0,89.44293036
73.80828134,NaN,0
0,44.09251114,0
0,0,99.3698723
0,56.92138524,38.36230379
0,NaN,0
0,NaN,0
0.945912381,0,5.560853634
0,NaN,5.775642179
8.727696671,NaN,13.72970322
0,0,0
0,94.11617181,9.163106459
88.65680202,0,0
0,48.48697744,84.41602919
0,89.38392597,0
0,NaN,0
