Femur,Patella,QT
0,0,71.61508081
0,NaN,97.64327799
NaN,0,71.57585652
92.06536609,0,0
0,NaN,94.5677852
0,93.29608939,73.41464827
68.14231758,0,94.32400767
60.48076923,88.43048289,99.99556888
0,0,70.55156215
90.50982307,NaN,0
81.74531616,NaN,96.03736088
99.67689822,NaN,97.06539892
0,NaN,77.29751185
0,0,89.87303382
4.66613996,73.89886048,74.36834532
84.48023908,0,93.91909454
73.08219586,NaN,64.71829022
0,NaN,87.48739287
0,NaN,74.76483708
82.41383745,85.8435682,58.5693677
0,0,55.47101135
83.50528136,NaN,35.96307614
0,0,63.21933313
54.29958391,64.94845361,96.35250593
0,58.96468654,86.08078335
0,NaN,86.34259259
39.88967653,0,76.17683149
NaN,NaN,74.53680071
82.77144316,32.77607446,66.26297587
0,0,95.68506415
